Mobility,0.00602256671987322
COVID-19 burden,0.00192657617646552
Searches corona,0.00476908690009192
Temperature,0.00444795505755713
Rainfall,0.00450856592468074
Humidity,0.00602266196072943
Wind,0.00450856788294807
Foreign citizens,0.00485127243920302
Nursing homes,0.00440133557598521
Population density,0.00482182513526541
Socio-economic status,0.00480846326462292
Age,0.00481271771467151
Gender,0.00485127939364582
Holiday,0.00476937466731819
Interventions,0.00481981719557611
Weekday,0.00476937463455751
