variables,estimates
Mobility (retail and recreation),1.0011005593998261
Mobility (grocery and pharmacy),0.997894435455549
Mobility (parks),0.9996466315032498
Mobility (transit stations),1.002506546625149
Mobility (workplaces),1.00316455286743
Mobility (residential),0.9905973873906604
