Mobility,163384.882797979
COVID-19 burden,166970.679093924
Searches corona,163736.382372767
Temperature,163884.849000537
Rainfall,163886.76157623
Humidity,163384.882797979
Wind,163886.76157623
Foreign citizens,164241.980300529
Nursing homes,163989.304928598
Population density,164185.530626893
Socio-economic status,164219.866258038
Age,164222.698040361
Gender,164241.980300529
Holiday,163736.382372767
Interventions,164188.112640109
Weekday,163736.382372767
