Mobility,0.000619077258952605
COVID-19 burden,0.000631954959700032
Searches corona,0.000654388506955539
Temperature,0.000611185697058536
Rainfall,0.000614035090532594
Humidity,0.000619065185679446
Wind,0.00061403547892136
Foreign citizens,0.000593269820393871
Nursing homes,0.00060480662213791
Population density,0.000601194744111244
Socio-economic status,0.000594919094952351
Age,0.000594012162707935
Gender,0.000593268994937945
Holiday,0.000611102196070967
Interventions,0.00062289739058996
Weekday,0.000611102301064204
