variables,estimates,conflow,confhigh
Mobility (retail and recreation),1.0076083057225653,1.0055562587305782,1.0096643007985873
Mobility (grocery and pharmacy),0.9951320606438679,0.9937959951475198,0.9964693526215375
Mobility (parks),0.9998496129212714,0.9993731285226372,1.000325523081518
Mobility (transit stations),0.9974768697595776,0.9946027162531698,1.0003566095178442
Mobility (workplaces),1.0030672249337222,1.0002312799343225,1.0059103115391312
Mobility (residential),1.0080054398277722,0.9986725767274968,1.0174220079658916
