"Datum";"Coronatrend";"Bundesland";"BL_ID"
"2020-05-02";21;"Bremen";4
"2020-05-03";27;"Bremen";4
"2020-05-04";30;"Bremen";4
"2020-05-05";32;"Bremen";4
"2020-05-06";45;"Bremen";4
"2020-05-07";34;"Bremen";4
"2020-05-08";29;"Bremen";4
"2020-05-09";28;"Bremen";4
"2020-05-10";31;"Bremen";4
"2020-05-11";34;"Bremen";4
"2020-05-12";31;"Bremen";4
"2020-05-13";30;"Bremen";4
"2020-05-14";26;"Bremen";4
"2020-05-15";25;"Bremen";4
"2020-05-16";20;"Bremen";4
"2020-05-17";23;"Bremen";4
"2020-05-18";25;"Bremen";4
"2020-05-19";24;"Bremen";4
"2020-05-20";24;"Bremen";4
"2020-05-21";22;"Bremen";4
"2020-05-22";18;"Bremen";4
"2020-05-23";22;"Bremen";4
"2020-05-24";17;"Bremen";4
"2020-05-25";19;"Bremen";4
"2020-05-26";21;"Bremen";4
"2020-05-27";21;"Bremen";4
"2020-05-28";21;"Bremen";4
"2020-05-29";23;"Bremen";4
"2020-05-30";16;"Bremen";4
"2020-05-31";20;"Bremen";4
"2020-06-01";17;"Bremen";4
"2020-06-02";20;"Bremen";4
"2020-06-03";19;"Bremen";4
"2020-06-04";21;"Bremen";4
"2020-06-05";19;"Bremen";4
"2020-06-06";16;"Bremen";4
"2020-06-07";14;"Bremen";4
"2020-06-08";21;"Bremen";4
"2020-06-09";17;"Bremen";4
"2020-06-10";22;"Bremen";4
"2020-06-11";19;"Bremen";4
"2020-06-12";17;"Bremen";4
"2020-06-13";16;"Bremen";4
"2020-06-14";17;"Bremen";4
"2020-06-15";22;"Bremen";4
"2020-06-16";31;"Bremen";4
"2020-03-01";16;"Brandenburg";12
"2020-03-02";22;"Brandenburg";12
"2020-03-03";25;"Brandenburg";12
"2020-03-04";19;"Brandenburg";12
"2020-03-05";18;"Brandenburg";12
"2020-03-06";18;"Brandenburg";12
"2020-03-07";16;"Brandenburg";12
"2020-03-08";21;"Brandenburg";12
"2020-03-09";30;"Brandenburg";12
"2020-03-10";34;"Brandenburg";12
"2020-03-11";48;"Brandenburg";12
"2020-03-12";69;"Brandenburg";12
"2020-03-13";100;"Brandenburg";12
"2020-03-14";86;"Brandenburg";12
"2020-03-15";93;"Brandenburg";12
"2020-03-16";96;"Brandenburg";12
"2020-03-17";85;"Brandenburg";12
"2020-03-18";81;"Brandenburg";12
"2020-03-19";80;"Brandenburg";12
"2020-03-20";82;"Brandenburg";12
"2020-03-21";85;"Brandenburg";12
"2020-03-22";93;"Brandenburg";12
"2020-03-23";69;"Brandenburg";12
"2020-03-24";64;"Brandenburg";12
"2020-03-25";59;"Brandenburg";12
"2020-03-26";61;"Brandenburg";12
"2020-03-27";59;"Brandenburg";12
"2020-03-28";60;"Brandenburg";12
"2020-03-29";53;"Brandenburg";12
"2020-03-30";55;"Brandenburg";12
"2020-03-31";49;"Brandenburg";12
"2020-04-01";54;"Brandenburg";12
"2020-04-02";51;"Brandenburg";12
"2020-04-03";43;"Brandenburg";12
"2020-04-04";46;"Brandenburg";12
"2020-04-05";43;"Brandenburg";12
"2020-04-06";43;"Brandenburg";12
"2020-04-07";40;"Brandenburg";12
"2020-04-08";38;"Brandenburg";12
"2020-04-09";38;"Brandenburg";12
"2020-04-10";35;"Brandenburg";12
"2020-04-11";37;"Brandenburg";12
"2020-04-12";34;"Brandenburg";12
"2020-04-13";35;"Brandenburg";12
"2020-04-14";35;"Brandenburg";12
"2020-04-15";59;"Brandenburg";12
"2020-04-16";42;"Brandenburg";12
"2020-04-17";40;"Brandenburg";12
"2020-04-18";34;"Brandenburg";12
"2020-04-19";31;"Brandenburg";12
"2020-04-20";31;"Brandenburg";12
"2020-04-21";33;"Brandenburg";12
"2020-04-22";33;"Brandenburg";12
"2020-04-23";35;"Brandenburg";12
"2020-04-24";31;"Brandenburg";12
"2020-04-25";29;"Brandenburg";12
"2020-04-26";28;"Brandenburg";12
"2020-04-27";31;"Brandenburg";12
"2020-04-28";31;"Brandenburg";12
"2020-04-29";30;"Brandenburg";12
"2020-04-30";32;"Brandenburg";12
"2020-05-01";25;"Brandenburg";12
"2020-05-02";26;"Brandenburg";12
"2020-05-03";26;"Brandenburg";12
